Div,Date,Time,HomeTeam,AwayTeam,FTHG,FTAG,HTHG,HTAG,FTR,HTR,B365H,B365D,B365A,B365>2.5,B365<2.5
E0,2022-08-05,20:00:00,Crystal Palace,Arsenal,0,2,0.0,1.0,A,A,4.2,3.6,1.85,2.1,1.72
E0,2022-08-06,12:30:00,Fulham,Liverpool,2,2,1.0,0.0,D,H,11.0,6.0,1.25,1.5,2.62
E0,2022-08-06,15:00:00,Bournemouth,Aston Villa,2,0,1.0,0.0,H,H,3.75,3.5,2.0,2.0,1.8
E0,2022-08-06,15:00:00,Leeds,Wolves,2,1,1.0,1.0,H,D,2.25,3.4,3.2,2.05,1.85
E0,2022-08-06,15:00:00,Newcastle,Nott'm Forest,2,0,0.0,0.0,H,D,1.66,3.8,5.25,2.05,1.85
E0,2022-08-06,15:00:00,Tottenham,Southampton,4,1,2.0,1.0,H,H,1.33,5.5,8.5,1.61,2.3
E0,2022-08-06,17:30:00,Everton,Chelsea,0,1,0.0,1.0,A,A,5.5,4.0,1.61,2.02,1.88
E0,2022-08-07,14:00:00,Leicester,Brentford,2,2,1.0,0.0,D,H,2.0,3.75,3.5,1.72,2.1
E0,2022-08-07,14:00:00,Man United,Brighton,1,2,0.0,2.0,A,A,1.6,4.2,5.25,1.92,1.98
E0,2022-08-07,16:30:00,West Ham,Man City,0,2,0.0,1.0,A,A,8.0,5.0,1.36,1.53,2.5
E0,2022-08-13,12:30:00,Aston Villa,Everton,2,1,1.0,0.0,H,H,1.8,3.5,4.75,2.1,1.72
E0,2022-08-13,15:00:00,Arsenal,Leicester,4,2,2.0,0.0,H,H,1.53,4.33,5.75,1.66,2.2
E0,2022-08-13,15:00:00,Brighton,Newcastle,0,0,0.0,0.0,D,D,2.45,3.2,3.0,2.1,1.72
E0,2022-08-13,15:00:00,Man City,Bournemouth,4,0,3.0,0.0,H,H,1.06,13.0,29.0,1.33,3.4
E0,2022-08-13,15:00:00,Southampton,Leeds,2,2,0.0,0.0,D,D,2.25,3.5,3.1,1.72,2.1
E0,2022-08-13,15:00:00,Wolves,Fulham,0,0,0.0,0.0,D,D,2.3,3.3,3.2,2.1,1.72
E0,2022-08-13,17:30:00,Brentford,Man United,4,0,4.0,0.0,H,H,3.75,3.5,2.0,1.8,2.0
E0,2022-08-14,14:00:00,Nott'm Forest,West Ham,1,0,1.0,0.0,H,H,4.2,3.6,1.85,1.92,1.98
E0,2022-08-14,16:30:00,Chelsea,Tottenham,2,2,1.0,0.0,D,H,2.25,3.4,3.2,1.98,1.92
E0,2022-08-15,20:00:00,Liverpool,Crystal Palace,1,1,0.0,1.0,D,A,1.18,6.75,16.0,1.57,2.37
E0,2022-08-20,12:30:00,Tottenham,Wolves,1,0,0.0,0.0,H,D,1.4,4.75,7.5,1.72,2.1
E0,2022-08-20,15:00:00,Crystal Palace,Aston Villa,3,1,1.0,1.0,H,D,2.5,3.25,2.9,2.2,1.66
E0,2022-08-20,15:00:00,Everton,Nott'm Forest,1,1,0.0,0.0,D,D,1.9,3.6,4.0,2.1,1.72
E0,2022-08-20,15:00:00,Fulham,Brentford,3,2,2.0,1.0,H,H,2.45,3.4,2.9,1.96,1.94
E0,2022-08-20,15:00:00,Leicester,Southampton,1,2,0.0,0.0,A,D,1.83,4.0,4.0,1.61,2.3
E0,2022-08-20,17:30:00,Bournemouth,Arsenal,0,3,0.0,2.0,A,A,8.0,4.75,1.4,1.72,2.1
E0,2022-08-21,14:00:00,Leeds,Chelsea,3,0,2.0,0.0,H,H,5.75,4.5,1.53,1.66,2.2
E0,2022-08-21,14:00:00,West Ham,Brighton,0,2,0.0,1.0,A,A,2.3,3.4,3.1,1.99,1.91
E0,2022-08-21,16:30:00,Newcastle,Man City,3,3,2.0,1.0,D,H,7.5,5.0,1.36,1.66,2.2
E0,2022-08-22,20:00:00,Man United,Liverpool,2,1,1.0,0.0,H,H,5.25,4.33,1.6,1.5,2.62
